significant_fingerprint_bits,insignificant_fingerprint_bits
MACCSFP45 <= 0.00,MACCSFP142 <= 1.00
MACCSFP144 <= 0.00,MACCSFP156 <= 1.00
MACCSFP97 <= 0.00,MACCSFP145 <= 1.00
0.00 < MACCSFP144 <= 1.00,MACCSFP150 <= 1.00
MACCSFP88 <= 0.00,MACCSFP29 <= 0.00
0.00 < MACCSFP97 <= 1.00,MACCSFP121 <= 1.00
MACCSFP81 <= 0.00,MACCSFP52 <= 0.00
MACCSFP30 > 0.00,MACCSFP165 <= 1.00
MACCSFP79 <= 0.00,MACCSFP66 <= 0.00
0.00 < MACCSFP110 <= 1.00,MACCSFP163 <= 1.00
MACCSFP89 <= 0.00,MACCSFP30 <= 0.00
MACCSFP110 <= 0.00,MACCSFP151 <= 1.00
MACCSFP50 <= 0.00,MACCSFP129 <= 1.00
MACCSFP36 > 0.00,MACCSFP100 <= 1.00
MACCSFP139 > 0.00,MACCSFP137 <= 1.00
MACCSFP88 > 0.00,MACCSFP34 <= 0.00
MACCSFP139 <= 0.00,MACCSFP153 <= 1.00
MACCSFP46 <= 0.00,MACCSFP158 <= 1.00
MACCSFP36 <= 0.00,MACCSFP162 <= 1.00
MACCSFP47 > 0.00,MACCSFP104 <= 1.00
MACCSFP123 <= 0.00,MACCSFP133 <= 1.00
0.00 < MACCSFP79 <= 1.00,MACCSFP161 <= 1.00
MACCSFP81 > 0.00,MACCSFP138 <= 1.00
MACCSFP47 <= 0.00,MACCSFP164 <= 1.00
MACCSFP26 <= 0.00,MACCSFP111 <= 1.00
